anio,codigo_depto,codigo_muni,codigo_evento,num_casos,porcentaje_mun
1030953,2560,2561024,195204,935.0,0.05888205954959947
213375,530,530424,40569,117.0,0.007368129376794801
2116270,52550,52556306,406972,2558.0,0.16109123885334273
471128,6318,6319404,99705,279.0,0.017570154667741446
1018893,20746,20749036,199575,809.0,0.0509471509899743
581942,3757,3758734,112633,397.0,0.025001259509295177
507404,10332,10335276,96280,349.0,0.021978437200866542
938230,11650,11650466,179070,897.0,0.05648899188876014
2456584,24400,24413420,468624,2899.0,0.18256587233613783
215502,7276,7277391,39304,121.0,0.00762003123583052
1199992,10132,10139748,226143,1199.0,0.07550758224595698
1147656,48450,48455700,213281,867.0,0.054599727945992244
1775970,17640,17651466,351089,1695.0,0.10674341276638623
809407,16482,16488432,158104,608.0,0.03828908257342939
1032955,23373,22461688,211674,622.0,0.03917073908005441
855806,17969,17977075,170229,571.0,0.03595899037734899
888008,33516,33524820,165438,747.0,0.04704267217492065
382568,9880,9884180,72827,250.0,0.01574386618973248
293982,730,733066,59278,172.0,0.010831779938535947
24163,12012,903312,4575,12.0,0.000755705577107159
501315,11703,11710470,99939,323.0,0.020341075117134365
934252,19024,19033280,183156,788.0,0.04962466623003677
783344,7391,7399558,162979,687.0,0.043264144289384854
215436,1605,1607354,43237,119.0,0.00749408030631266
378582,13724,13728512,73893,259.0,0.016310645372562847
239608,4879,4882094,47423,128.0,0.00806085948914303
324215,4347,4351025,58923,172.0,0.010831779938535947
267756,1729,1732990,54307,150.0,0.009446319713839487
511449,18542,18548604,99307,362.0,0.022797118242732634
1371267,3405,3425430,266168,1351.0,0.08507985288931431
1071099,2660,2676492,211358,839.0,0.05283641493274221
571810,20732,20740520,113765,448.0,0.028213008212000606
773183,9600,9613440,153512,593.0,0.03734445060204544
541635,13988,13997684,108122,395.0,0.02487530857977732
1022969,38608,38626288,198297,906.0,0.0570557710715905
1576701,3915,3941622,304126,1690.0,0.10642853544259157
2010,1001,75024,511,1.0,6.297546475892992e-05
577882,1435,1445906,126078,388.0,0.02443448032646481
797348,9900,9915840,157045,725.0,0.04565721195022419
692591,1720,1733760,146730,502.0,0.03161368330898282
1574569,13294,13326844,295216,1690.0,0.10642853544259157
1049053,39596,39617361,201228,896.0,0.05642601642400121
2016,1001,75028,202,1.0,6.297546475892992e-05
294050,146146,11027380,54278,175.0,0.011020706332812737
493291,17885,17895535,97544,357.0,0.022482240918937982
390642,970,978536,75367,232.0,0.014610307824071743
2619669,6505,6563545,488417,3249.0,0.2046072850017633
446972,5550,5682978,88452,318.0,0.020026197793339716
753063,24684,24700830,142304,627.0,0.03948561640384906
813433,6060,6078988,166551,637.0,0.040115371051438364
1139640,26602,26631998,222908,881.0,0.055481384452617265
781169,6596,6615400,151094,660.0,0.04156380674089375
420786,14212,14222659,82958,278.0,0.01750717920298252
2188751,88047,88048087,421731,2368.0,0.14912590054914607
1040965,41877,41910605,203534,975.0,0.06140107813995667
779231,9675,9695511,153836,652.0,0.04106000302282231
414773,10712,10722506,81003,288.0,0.01813693385057182
459081,12312,12323628,91543,329.0,0.020718927905687946
980529,2435,2459837,194590,741.0,0.046664819386367073
348365,2595,2603823,72742,220.0,0.013854602246964583
422900,2730,2738820,84795,232.0,0.014610307824071743
1546345,24789,24829336,315245,1115.0,0.07021764320620687
24159,12012,900384,4851,13.0,0.000818681041866089
837639,19552,19576128,162359,657.0,0.04137488034661696
1729728,11167,11211668,335711,1792.0,0.11285203284800242
4605289,134685,134696683,856426,15337.0,0.9658547030077081
761064,27594,27614790,147043,667.0,0.04200463499420626
291999,1885,1893990,60897,168.0,0.010579878079500227
314149,156156,11783148,51153,185.0,0.011650460980402035
549641,5460,5468736,111028,359.0,0.022608191848455843
728897,26426,26450254,143605,528.0,0.033251045392715
241598,3240,3246000,48370,130.0,0.00818681041866089
6050,3003,225108,1632,3.0,0.00018892639427678975
4026,2002,150080,1008,2.0,0.00012595092951785984
1536397,17549,17600884,300326,1387.0,0.08734696962063579
310103,4158,4169242,61531,174.0,0.010957730868053807
336244,4509,4521525,69715,201.0,0.012658068416544915
342266,4590,4603090,67353,192.0,0.012091289233714544
1038982,20426,20464700,205153,692.0,0.0435790216131795
1631038,6480,6543180,313626,1658.0,0.10441332057030582
459064,9348,9365784,90708,287.0,0.01807395838581289
966428,24960,24997920,196736,657.0,0.04137488034661696
2015,1001,75052,304,1.0,6.297546475892992e-05
2768637,42785,42892485,526660,2789.0,0.17563857121265555
475178,16048,16066644,94105,318.0,0.020026197793339716
299998,7450,7466390,57203,161.0,0.010139049826187716
3751132,126684,126834903,706679,8296.0,0.5224444556400827
755059,16500,16529250,153568,532.0,0.03350294725175072
126845,5922,5943609,25808,72.0,0.004534233462642955
404739,2613,2627874,79811,240.0,0.01511411154214318
6397216,25416,25419177,1208212,49772.0,3.13441483198146
632242,6280,6294130,126185,403.0,0.02537911229784876
573801,4845,4870080,108162,503.0,0.03167665877374175
4357646,10820,11010432,827094,13545.0,0.8530026701597058
287939,715,727298,61261,181.0,0.011398559121366317
112756,1400,1404816,23629,62.0,0.003904478815053655
984579,13958,13999827,186403,657.0,0.04137488034661696
573823,5130,5156790,113156,377.0,0.02374175021411658
1191937,39072,39124096,221742,1107.0,0.06971383948813542
165070,1230,1237380,30010,95.0,0.005982669152098343
541614,1345,1369479,110819,355.0,0.02235628998942012
1071139,11228,11277340,204383,777.0,0.04893193611768855
151013,1125,1131900,30730,86.0,0.005415889969267973
183237,2275,2283645,37027,107.0,0.006738374729205502
479212,3570,3593086,89486,356.0,0.022419265454179053
410748,11016,11036196,80918,262.0,0.016499571766839638
8414960,45969,45973179,1619182,228495.0,14.389578820091693
410713,5100,5120196,80905,249.0,0.01568089072497355
281965,3780,3793860,53261,158.0,0.009950123431910927
8050,4004,300272,1527,4.0,0.0002519018590357197
2267144,57853,57965852,439549,1714.0,0.10793994659680588
1244357,12360,12397080,250184,964.0,0.060708348027608446
563750,4200,4229120,111525,399.0,0.02512721043881304
98651,49049,3678724,17572,110.0,0.0069273011234822915
579882,2420,2450718,122969,405.0,0.02550506322736662
5253616,177412,177414609,975150,25374.0,1.597939442793088
159053,4266,4274611,31881,88.0,0.005541840898785832
4318902,163020,163253805,835403,9126.0,0.5747140913899945
1731580,32966,33049814,334223,1220.0,0.07683006700589451
946341,8930,8981700,188771,780.0,0.04912086251196533
926344,23920,23970600,181625,706.0,0.044460678119804524
1081374,40812,40872681,201712,1040.0,0.06549448334928712
2012,1001,75100,510,1.0,6.297546475892992e-05
402684,1000,1022600,82800,249.0,0.01568089072497355
78530,585,589446,15238,42.0,0.0026449695198750567
2013,1001,75056,605,1.0,6.297546475892992e-05
410740,8540,8564560,83665,223.0,0.014043528641241374
219455,5450,5463516,40935,126.0,0.00793490855962517
12073,564,569316,2147,6.0,0.0003778527885535795
606019,7525,7562023,117208,485.0,0.030543100408081014
442953,11880,11908160,88160,292.0,0.018388835709607535
386588,960,984000,73134,239.0,0.01505113607738425
1447756,54644,54731718,266474,1695.0,0.10674341276638623
390676,13580,13604056,74241,242.0,0.01524006247166104
1020865,37011,37073868,195956,868.0,0.05466270341075117
1192053,11248,11324960,235757,1047.0,0.06593531160259963
1631127,20250,20352060,314930,1549.0,0.09754899491158245
1109452,19053,19112015,218359,807.0,0.05082120006045644
2225013,69615,69758650,403017,3503.0,0.22060305305053154
2436427,7340,7496348,439121,3083.0,0.19415335785178095
1093302,10317,10391391,221356,913.0,0.057496599324903024
7162538,270332,270335557,1355643,100162.0,6.307748501183939
56391,1904,1907696,9941,28.0,0.0017633130132500379
753065,28424,28471124,152390,596.0,0.03753337699632223
1077126,10165,10240970,214432,904.0,0.056929820142072644
2017,1001,75120,700,1.0,6.297546475892992e-05
444994,1105,1134614,90600,298.0,0.018766688498161117
694760,2760,2807265,134091,547.0,0.03444757922313467
1473938,30012,30108624,286853,1422.0,0.08955111088719835
201330,1500,1513500,41197,127.0,0.007997884024384101
22158,11011,826364,4864,13.0,0.000818681041866089
541655,6187,6211210,106048,334.0,0.021033805229482592
2768755,85868,86049764,521336,3061.0,0.1927678976270845
245654,1586,1605520,49261,135.0,0.008501687742455539
742958,9225,9279612,146745,717.0,0.045153408232152754
434915,14688,14719752,81517,316.0,0.019900246863821854
346353,860,884424,68548,221.0,0.013917577711723512
316084,785,807765,58310,211.0,0.013287823064134214
245655,8296,8314544,51061,155.0,0.009761197037634136
1343086,3335,3433049,269575,1177.0,0.0741221220212605
638357,23141,23187916,122637,460.0,0.028968713789107762
459082,5700,5735112,92232,323.0,0.020341075117134365
116765,1566,1574700,24890,64.0,0.004030429744571515
342305,850,875500,67327,225.0,0.014169479570759234
6068944,39182,39185014,1151250,29173.0,1.8371832334122626
1036921,9270,9347250,209807,795.0,0.05006549448334929
3165390,119472,119703084,590056,6729.0,0.4237619023628394
116775,5626,5635338,24322,60.0,0.003778527885535795
394664,14308,14337792,75419,274.0,0.017255277343946798
471147,11700,11735100,91061,304.0,0.019144541286714695
2251358,5590,5762172,434144,2882.0,0.18149528943523602
734963,1825,1875370,138929,527.0,0.03318806992795607
86567,2924,2930880,16394,48.0,0.003022822308428636
2279485,26036,26219384,437335,2882.0,0.18149528943523602
287933,2145,2168166,55895,191.0,0.012028313768955615
300035,10132,10156138,60627,163.0,0.010265000755705578
326126,7614,7640082,64181,213.0,0.013413773993652074
640335,16536,16612320,127788,424.0,0.026701597057786287
281885,3500,3523520,55229,185.0,0.011650460980402035
159056,5530,5548170,31007,91.0,0.005730767293062622
1842408,66795,66948720,356901,2276.0,0.1433321577913245
742991,25092,25153623,149941,612.0,0.03854098443246511
211424,7140,7157745,43833,116.0,0.007305153912035871
555674,12972,13018920,114394,346.0,0.02178951080658975
1765839,4385,4535844,348121,1809.0,0.11392261574890424
22162,11011,826672,4170,11.0,0.000692730112348229
167092,5644,5658608,34052,87.0,0.005478865434026903
879956,8740,8816475,177820,673.0,0.04238248778275984
477156,5451,5490816,91582,342.0,0.02153760894755403
8055,4004,300624,1330,4.0,0.0002519018590357197
314098,2340,2366832,58669,218.0,0.013728651317446721
2196811,18547,18736834,400715,2774.0,0.17469393924127158
708816,19008,19068544,138880,530.0,0.03337699632223286
1411613,16123,16250582,272308,1412.0,0.08892135623960905
549777,6825,6873594,103901,382.0,0.02405662753791123
318101,10744,10772282,58499,216.0,0.013602700387928861
1826278,13605,13764632,355223,2189.0,0.1378532923572976
998737,9920,10008288,196533,745.0,0.0469167212454028
310066,2310,2337720,61417,204.0,0.012846994810821705
579896,4320,4372704,120270,500.0,0.03148773237946496
436946,11718,11755758,89140,294.0,0.018514786639125397
406720,3030,3067370,83505,268.0,0.016877424555393216
189264,1410,1427578,36184,102.0,0.006423497405410853
153029,1140,1157936,29696,79.0,0.0049750617159554636
694715,8625,8687445,136586,542.0,0.034132701899340014
885929,11000,11080520,182353,686.0,0.04320116882462592
118789,5015,5015885,26834,61.0,0.0038415033502947255
2535166,31475,31695325,476838,3423.0,0.21556501586981713
259766,1935,1964928,52292,146.0,0.009194417854803768
430987,2782,2822232,85112,251.0,0.01580684165449141
1179779,39848,39959340,239797,983.0,0.06190488185802811
1328960,41580,41705400,241874,1282.0,0.08073454582094815
749105,1860,1930680,145855,582.0,0.03665172048969721
1340989,3330,3397266,255907,1250.0,0.0787193309486624
2611586,60959,61204133,493379,3773.0,0.23760642853544262
1590680,18170,18319310,306306,1708.0,0.10756209380825231
316127,2355,2384673,62477,222.0,0.013980553176482443
443024,2860,2908840,85965,259.0,0.016310645372562847
745027,1850,1922890,139468,618.0,0.038918837221018694
606093,21973,22033200,116539,482.0,0.030354174013804223
898037,11150,11239200,174976,824.0,0.051891782961358254
416839,8487,8529642,79895,277.0,0.01744420373822359
295997,10290,10319988,57350,180.0,0.011335583656607386
855602,27438,27526787,170439,575.0,0.036210892236384705
650309,12640,12706713,128624,413.0,0.026008866945438056
1246386,10067,10195707,243779,1044.0,0.06574638520832284
604127,8100,8161500,114841,390.0,0.024560431255982666
175164,5916,5934183,34314,91.0,0.005730767293062622
6040,3003,225540,1025,3.0,0.00018892639427678975
608053,15704,15766514,120180,461.0,0.029031689253866694
414763,10712,10755260,81944,254.0,0.015995768048768202
386573,13056,13096512,80452,260.0,0.01637362083732178
600000,16092,16153388,124596,436.0,0.027457302634893443
2100328,5215,5436116,389540,2540.0,0.159957680487682
277845,2070,2099256,54175,163.0,0.010265000755705578
1183920,11172,11296656,235686,1228.0,0.07733387072396594
394628,13328,13370532,78990,242.0,0.01524006247166104
1774157,61670,61859415,340875,1925.0,0.1212277696609401
201342,1500,1521500,43205,118.0,0.007431104841553731
16123,8008,601504,2966,8.0,0.0005038037180714394
2015,1001,75384,109,1.0,6.297546475892992e-05
817560,10150,10236884,155346,609.0,0.03835205803818832
509454,5819,5894900,97636,327.0,0.020592976976170085
251685,1875,1902250,44424,157.0,0.009887147967151998
539621,18760,18819228,108255,345.0,0.021726535341830822
1127619,40880,41001520,225685,1095.0,0.06895813391102826
211430,8505,8528100,44145,117.0,0.007368129376794801
444997,11492,11541504,87562,295.0,0.018577762103884326
12092,6006,451152,2337,6.0,0.0003778527885535795
346364,8600,8638356,67893,203.0,0.012784019346062775
326106,2430,2466126,62974,175.0,0.011020706332812737
241546,1800,1826880,48986,142.0,0.00894251599576805
356422,4425,4464648,74019,214.0,0.013476749458411003
416815,11178,11224161,86129,286.0,0.018010982921053957
932173,23150,23254638,178116,709.0,0.044649604514081315
626318,30789,31029403,128079,389.0,0.024497455791223737
1000862,25844,25956819,204621,723.0,0.045531261020706336
360397,9308,9349707,77256,214.0,0.013476749458411003
567780,20586,20649732,114250,449.0,0.028275983676759535
475123,4248,4296380,96908,309.0,0.019459418610509347
577838,19516,19581723,110623,419.0,0.026386719733991638
1161739,11540,11671556,227367,958.0,0.060330495239054864
165083,1230,1248532,29997,91.0,0.005730767293062622
1061084,2635,2698240,221360,1003.0,0.06316439115320671
163095,4374,4384125,30024,92.0,0.005793742757821553
962529,11950,12022178,179471,768.0,0.048365156934858176
146979,1971,1982680,26543,79.0,0.0049750617159554636
630169,4695,4758852,125303,427.0,0.026890523452063077
1369277,30166,30311162,283925,967.0,0.06089727442188523
5666303,151956,151958814,1061051,29241.0,1.84146556501587
900004,2235,2339598,181008,668.0,0.042067610458965184
1552402,58596,58775643,305648,1588.0,0.10000503803718071
624220,13640,13667900,128521,442.0,0.027835155423447024
8060,4004,300832,1332,4.0,0.0002519018590357197
382531,8360,8378620,76727,219.0,0.013791626782205652
537544,19491,19554012,106255,466.0,0.029346566577661343
753075,1870,1958638,146122,601.0,0.03784825432011688
3586404,117546,117848770,668323,7903.0,0.4976950979898232
2714349,20220,20540824,519545,4259.0,0.26821250440828254
298003,7992,8027372,54600,182.0,0.011461534586125244
696705,1730,1813040,137483,555.0,0.03495138294120611
167126,83083,6243094,38857,99.0,0.006234571011134062
2011,1001,75818,303,1.0,6.297546475892992e-05
1540381,3825,4016250,306569,1561.0,0.09830470048868961
1761909,41125,41339375,342358,1835.0,0.11555997783263641
412742,15580,15630430,80573,278.0,0.01750717920298252
98645,2450,2462005,18796,52.0,0.003274724167464356
112743,1512,1519560,23551,61.0,0.0038415033502947255
479202,12852,12910310,93654,317.0,0.019963222328580787
426863,5724,5775940,82772,256.0,0.01612171897828606
1661187,10725,10926300,323780,1615.0,0.10170537558567183
495235,16728,16785810,104819,325.0,0.020467026046652223
1516328,3765,3876444,293825,1396.0,0.08791374880346617
416776,10350,10401957,84099,259.0,0.016310645372562847
1943056,73340,73579320,364424,2404.0,0.15139301728046753
479120,12376,12435500,99387,306.0,0.019270492216232556
378511,2820,2865872,77016,255.0,0.01605874351352713
1175853,14600,14743080,228542,1236.0,0.07783767444203739
942307,9360,9471384,187924,717.0,0.045153408232152754
958405,8568,8685572,189147,786.0,0.049498715300518914
209416,5200,5228080,40895,123.0,0.007745982165348381
642271,24244,24323750,125850,473.0,0.02978739483097385
62395,2821,2829153,13252,31.0,0.0019522394075268275
251667,1875,1906000,50678,151.0,0.009509295178598418
140918,4760,4777150,31470,77.0,0.0048491107864376045
398707,2574,2623104,74430,270.0,0.017003375484911078
110762,1485,1498750,21162,59.0,0.0037155524207768656
267778,5852,5866630,52133,150.0,0.009446319713839487
813443,8080,8181000,160959,608.0,0.03828908257342939
730899,6534,6626928,142052,531.0,0.03343997178699179
352418,9100,9144450,75291,265.0,0.01668849816111643
670479,10310,10396236,138065,399.0,0.02512721043881304
537589,12549,12617886,105758,419.0,0.026386719733991638
652322,22032,22114620,133472,466.0,0.029346566577661343
440931,20805,20810475,92808,274.0,0.017255277343946798
686566,16027,16118388,132319,483.0,0.030417149478563152
356416,12390,12431241,69748,212.0,0.013350798528893143
551718,6850,6921240,110001,354.0,0.02229331452466119
344315,8892,8935776,70937,207.0,0.013035921205098493
4026,2002,150444,606,2.0,0.00012595092951785984
1270557,3155,3594807,240791,1175.0,0.07399617109174267
414782,10712,10765148,81847,246.0,0.015491964330696762
2218888,33313,33596612,441052,2134.0,0.13438964179555646
432914,11610,11663750,91888,306.0,0.019270492216232556
992699,26622,26750673,194532,772.0,0.0486170587938939
517427,19532,19594451,106304,351.0,0.022104388130384404
185260,3772,3794448,36872,109.0,0.006864325658723361
100693,3400,3413200,19199,59.0,0.0037155524207768656
221485,7480,7509260,44566,130.0,0.00818681041866089
481231,1195,1258096,97595,304.0,0.019144541286714695
3238131,8040,8467728,598231,7769.0,0.48925638571212654
2010,1001,75232,611,1.0,6.297546475892992e-05
98672,49049,3710476,18999,53.0,0.003337699632223286
2448529,88768,89093888,457789,3836.0,0.2415738828152552
302028,150150,11376000,56467,178.0,0.011209632727089526
2565287,31850,32192706,493908,3799.0,0.23924379061917478
459001,16644,16705560,85792,344.0,0.021663559877071893
6031,3003,226929,928,3.0,0.00018892639427678975
692673,5848,5941568,132747,530.0,0.03337699632223286
670444,20979,21069576,131715,499.0,0.03142475691470603
12084,6006,453648,2432,6.0,0.0003778527885535795
398632,2970,3023856,77131,275.0,0.01731825280870573
1379270,50005,50193375,258204,1382.0,0.08703209229684115
3914320,35160,35210496,748473,6395.0,0.40272809713335683
370464,2760,2810784,76393,226.0,0.014232455035518161
1904801,71896,72156150,358268,2174.0,0.13690866038591365
3610415,121924,122418868,658664,8650.0,0.5447377701647438
253649,8568,8602146,50608,170.0,0.010705829009018087
1053100,23012,23157917,213056,839.0,0.05283641493274221
682520,27459,27560700,137640,549.0,0.03457353015265253
360375,4475,4525299,72425,248.0,0.01561791526021462
34224,17017,1279250,6727,17.0,0.0010705829009018087
30157,15015,1128735,6207,17.0,0.0010705829009018087
249684,6448,6512480,49986,141.0,0.008879540531009119
1059175,2630,2778332,203341,944.0,0.05944883873242985
1286648,46647,46827837,241560,1486.0,0.09358154063176986
944349,2345,2478196,182060,690.0,0.043453070683661645
638297,15850,15940979,128010,408.0,0.02569398962164341
1904908,44462,44734448,366780,1860.0,0.11713436445160966
505352,13052,13124037,110126,345.0,0.021726535341830822
1812254,22500,22757400,347615,1961.0,0.12349488639226158
3183629,39525,39983490,609399,7065.0,0.44492165852183985
670550,8325,8417907,131532,526.0,0.03312509446319714
304022,3775,3818488,61929,181.0,0.011398559121366317
390590,4850,4906842,71228,265.0,0.01668849816111643
485321,6025,6096095,98649,283.0,0.017822056526777166
245634,1830,1865746,47717,143.0,0.009005491460526979
777168,9650,9764642,151950,709.0,0.044649604514081315
1141874,4536,4703832,219886,1008.0,0.06347926847700136
624292,21700,21772850,119339,426.0,0.02682754798730415
